"URL";"Dateipfad";"Meta-Titel";"Titel-Länge";"Meta-Description";"Description-Länge";"Description fehlt"
"/anlagen/";"anlagen/index.html";"RLT-Anlagen & Spezialanlagen | Igienair";"39";"Reinigung, Inspektion und Wartung für Lüftungs-, Klima- und Spezialanlagen. Alle Igienair-Leistungen nach VDI und DIN im Überblick.";"131";"Nein"
"/anlagen/kuechenabluftsysteme/";"anlagen/kuechenabluftsysteme/index.html";"Küchenabluftreinigung nach VDI 2052 | Igienair";"46";"Reinigung und Brandschutz für gewerbliche Küchenabluftsysteme nach VDI 2052. Igienair entfernt Fettablagerungen und reduziert Brandrisiken.";"139";"Nein"
"/anlagen/kuehlregale/";"anlagen/kuehlregale/index.html";"Kühlregale reinigen & desinfizieren | Igienair";"46";"Hygienische Reinigung von Kühlregalen für Lebensmittelbetriebe: Ablagerungen entfernen, Effizienz steigern, Hygieneanforderungen erfüllen.";"138";"Nein"
"/anlagen/kuehlsysteme/";"anlagen/kuehlsysteme/index.html";"Kühlsysteme & Klimatechnik hygienisch warten | Igienair";"55";"Reinigung und Hygienewartung von Kühlsystemen und Klimatechnik. Igienair verhindert Ablagerungen, Keimbildung und Leistungsverluste.";"132";"Nein"
"/anlagen/kuehlturmreinigung/";"anlagen/kuehlturmreinigung/index.html";"Verdunstungskühlanlage Reinigung » Kühlturm Reinigung";"53";"Verdunstungskühlanlage Reinigung ✅ Kühlturm Reinigung gemäß 42. BImSchV ✅ und VDI 2047-2 ✅ durch Experten";"105";"Nein"
"/anlagen/laborabzuege/";"anlagen/laborabzuege/index.html";"Digestorium: Die Laborabzug Prüfung nach DIN EN 14175 | Igienair";"64";"Prüfung, Validierung und Wartung von Laborabzügen und Digestorien nach DIN EN 14175. Sicherer Betrieb durch Igienair-Spezialisten.";"130";"Nein"
"/anlagen/lueftungsanlagenreinigung/";"anlagen/lueftungsanlagenreinigung/index.html";"Lüftungsanlagenreinigung: Die RLT Anlage Wartung V | Igienair";"61";"Professionelle RLT-Anlagenreinigung nach VDI 6022 und DIN EN 15780. Igienair reinigt Lüftungsgeräte, Kanäle und Komponenten normgerecht.";"136";"Nein"
"/anlagen/lueftungsreinigung/";"anlagen/lueftungsreinigung/index.html";"Lüftungsreinigung VDI 6022 schützt Kunden und Mitarbeiter";"57";"Professionelle Lüftungsreinigung für Büros, Gastronomie und Industrie nach VDI 6022. Zertifizierte Experten – jetzt Angebot anfordern.";"134";"Nein"
"/anlagen/luftkanalreinigung/";"anlagen/luftkanalreinigung/index.html";"Luftkanalreinigung » Reinigung Lüftungskanäle nach VDI 6022";"59";"Gründliche Luftkanalreinigung nach VDI 6022 und DIN EN 15780. Igienair entfernt Verunreinigungen und verbessert die Raumluftqualität nachhaltig.";"144";"Nein"
"/anlagen/op-raum-pruefung/";"anlagen/op-raum-pruefung/index.html";"OP Raum Prüfung und RLT Anlage Prüfung | Igienair";"49";"Prüfung und Abnahme von OP-Räumen nach DIN EN 1946-4. Igienair validiert Luftführung, Druckverhältnisse und hygienische Anforderungen.";"134";"Nein"
"/anlagen/prozessabluft-und-entrauchungsanlagen/";"anlagen/prozessabluft-und-entrauchungsanlagen/index.html";"Prozessabluft & Entrauchungsanlagen - Igienair GmbH";"51";"Reinigung und Inspektion von Prozessabluft- und Entrauchungsanlagen. Igienair sorgt für sicheren Betrieb und normgerechte Dokumentation.";"136";"Nein"
"/anlagen/raumluftdesinfektion/";"anlagen/raumluftdesinfektion/index.html";"Raumdesinfektion mit Wasserstoffperoxid NF T72-110 03.2019";"58";"Raumluftdesinfektion für RLT-Anlagen und Verdunstungskühler. Igienair reduziert Keimlasten und unterstützt hygienischen Anlagenbetrieb.";"135";"Nein"
"/anlagen/rechenzentrum/";"anlagen/rechenzentrum/index.html";"Rechenzentrum Reinigung: Hygiene & Sicherheit für Ihre Daten";"60";"Hygienereinigung und Inspektion von RLT-Anlagen in Rechenzentren. Igienair schützt sensible IT-Infrastruktur durch saubere Raumluft.";"132";"Nein"
"/anlagen/reinraumqualifizierung/";"anlagen/reinraumqualifizierung/index.html";"Reinraum-qualifizierung vom Experten | Igienair";"47";"Reinraumqualifizierung nach VDI 2083 und ISO 14644. Igienair klassifiziert, prüft und dokumentiert Reinräume für Ihre Branche.";"126";"Nein"
"/anlagen/splitklimageraete-und-umluftkuehlgeraete/";"anlagen/splitklimageraete-und-umluftkuehlgeraete/index.html";"Split- & Umluftkühlgeräte reinigen | Igienair";"45";"Hygienische Reinigung und Desinfektion von Split- und Umluftkühlgeräten. Normgerecht, dokumentiert – für Büros, Praxen und Gewerbe.";"131";"Nein"
"/anlagen/textilschlaeuche/";"anlagen/textilschlaeuche/index.html";"Textilschläuche: fachgerechte Reinigung von Textilschläuchen";"60";"Reinigung und Desinfektion von Textilschläuchen in Lüftungssystemen. Igienair verlängert Lebensdauer und sichert hygienischen Lufttransport.";"140";"Nein"
"/anlagen/verdampfer-und-kondensatoren/";"anlagen/verdampfer-und-kondensatoren/index.html";"Verdampfer & Kondensatoren - Igienair GmbH";"42";"Reinigung von Verdampfern und Kondensatoren in Kälteanlagen. Igienair beseitigt Biofilme, steigert Effizienz und verlängert die Lebensdauer.";"140";"Nein"
"/branchen/";"branchen/index.html";"Branchenlösungen Raumlufthygiene | Igienair";"43";"Maßgeschneiderte Hygienelösungen für Gesundheitswesen, Pharma, Lebensmittel, Industrie, Gastronomie und Kommunen – normkonform und erprobt.";"139";"Nein"
"/cookie-richtlinie-eu/";"cookie-richtlinie-eu/index.html";"Cookie-Richtlinie (EU) - Igienair GmbH";"38";"Informationen zur Verwendung von Cookies und Tracking-Technologien auf igienair.de. Arten, Zwecke und Ihre Einstellungsmöglichkeiten.";"133";"Nein"
"/danke/";"danke/index.html";"Danke für Ihre Anfrage - IGIENAIR GmbH";"38";"Vielen Dank für Ihre Anfrage bei IGIENAIR. Wir werden uns schnellstmöglich mit Ihnen in Verbindung setzen.";"106";"Nein"
"/datenschutz/";"datenschutz/index.html";"Datenschutzerklärung | Igienair GmbH";"36";"Informationen zur Verarbeitung personenbezogener Daten bei Igienair gemäß DSGVO. Transparenz über Speicherung, Rechte und Kontakt.";"130";"Nein"
"/downloads/";"downloads/index.html";"Downloads & Dokumente | Igienair";"32";"Hilfreiche Dokumente, Formulare und Informationen zum Download rund um technische Hygiene, Inspektion und Reinigung von RLT-Anlagen.";"132";"Nein"
"/energetische-inspektion-geg-2020/";"energetische-inspektion-geg-2020/index.html";"Energetische Inspektion von Klimaanlagen nach GEG 2020";"54";"Energetische Inspektion von Klimaanlagen nach GEG 2020: Pflicht erfüllen, Effizienz steigern. Zertifizierte Durchführung durch Igienair.";"136";"Nein"
"/filterintegritaetstest/";"filterintegritaetstest/index.html";"Filterintegritätstest für RLT-Anlagen | Igienair";"48";"Filterintegritätstests für HEPA- und Schwebstofffilter in RLT-Anlagen. Igienair prüft Dichtheit und dokumentiert Ergebnisse zuverlässig.";"136";"Nein"
"/gastronomie/";"gastronomie/index.html";"Technische Hygiene Gastronomie | Igienair";"41";"Küchenabluftreinigung, Lüftungshygene und Brandschutz für Gastronomiebetriebe. Igienair schützt Gäste, Mitarbeiter und Ihren Betrieb.";"133";"Nein"
"/gefaehrdungsbeurteilung-vdi-2047/";"gefaehrdungsbeurteilung-vdi-2047/index.html";"Gefährdungsbeurteilung VDI 2047 | Igienair";"42";"Gefährdungsbeurteilung nach VDI 2047-2 für Kühltürme und Verdunstungskühlanlagen. Pflicht für Betreiber – fachgerecht durch Igienair.";"133";"Nein"
"/gemeinden/";"gemeinden/index.html";"Lüftungshygene öffentliche Einrichtungen | Igienair";"51";"Hygienische Betreuung von Lüftungsanlagen in kommunalen Gebäuden. Igienair erfüllt Inspektionspflichten und sorgt für gesunde Raumluft.";"135";"Nein"
"/gesundheitswesen/";"gesundheitswesen/index.html";"Technische Hygiene Gesundheitswesen | Igienair";"46";"RLT-Hygiene für Krankenhäuser und medizinische Einrichtungen: Inspektion, Reinigung und Gutachten nach anerkannten Hygienestandards.";"132";"Nein"
"/glossar/bedeutung-hygieneinspektionen-unternehmen/";"glossar/bedeutung-hygieneinspektionen-unternehmen/index.html";"Die Bedeutung von Hygieneinspektionen für Unternehmen";"53";"Warum Hygieneinspektionen für Unternehmen wichtig sind: Risiken senken, Raumluft sichern und Betreiberpflichten zuverlässig erfüllen.";"133";"Nein"
"/glossar/brandschutzreinigung-entfettung-grosskuechenabluftsystemen/";"glossar/brandschutzreinigung-entfettung-grosskuechenabluftsystemen/index.html";"Brandschutzreinigung Küchenabluft | Glossar";"43";"Was ist eine Brandschutzreinigung & Entfettung von Großküchenabluftsystemen und wie führen wir sie bei Igienair durch?";"118";"Nein"
"/glossar/digestorium/";"glossar/digestorium/index.html";"Digestorium | Glossar Igienair";"30";"Digestorium: Definition, Bedeutung und praxisrelevante Hinweise zur Raumlufthygiene – kompakt erklärt im Igienair-Glossar.";"122";"Nein"
"/glossar/din-en-14175-norm/";"glossar/din-en-14175-norm/index.html";"DIN EN 14175 Norm | Glossar Igienair";"36";"Die DIN EN 14175 ist eine wichtige Norm, die sich mit der Abzugstechnik in Labors und industriellen Anwendungen befasst.";"120";"Nein"
"/glossar/din-en-15780-norm/";"glossar/din-en-15780-norm/index.html";"DIN EN 15780 Norm | Glossar Igienair";"36";"Die DIN EN 15780 ist eine wichtige Norm, die sich mit der Luftqualität in Innenräumen befasst in Bezug auf die hygienischen Anforderungen";"137";"Nein"
"/glossar/energetische-inspektion/";"glossar/energetische-inspektion/index.html";"Energetische Inspektion von Klimaanlagen - Igienair GmbH";"56";"Energetische Inspektion von Klimaanlagen: Pflicht, Ablauf und Bedeutung nach GEG 2020 für Betreiber raumlufttechnischer Anlagen.";"128";"Nein"
"/glossar/entrauchungsanlage/";"glossar/entrauchungsanlage/index.html";"Entrauchungsanlage: Sicherheit im Brandfall und Pflege";"54";"Entrauchungsanlagen: Sicherheit im Brandfall und Pflege für maximale Effizienz. Igienair ist Ihr kompetenter Partner";"116";"Nein"
"/glossar/fachbetrieb-nach-whg/";"glossar/fachbetrieb-nach-whg/index.html";"Fachbetrieb nach WHG - Igienair GmbH";"36";"Die WHG-Zertifizierung ist für Unternehmen in Deutschland von Bedeutung, die mit wassergefährdenden Stoffen umgehen.";"116";"Nein"
"/glossar/fgk-qm-01-zertifizierung/";"glossar/fgk-qm-01-zertifizierung/index.html";"Was ist die FGK-QM-01-Zertifizierung? Igienair GmbH erklärt es";"62";"Wir erklären als FGK-QM-01 zertifizierter Betrieb in unserem Glossar, was die FGK-QM-01 Zertifizierung ist.";"107";"Nein"
"/glossar/filterintegritaetstest/";"glossar/filterintegritaetstest/index.html";"Filterintegritätstest erklärt | Glossar Igienair";"48";"Überblick über den Filterintegritätstest, seine Besonderheiten, geltende Vorschriften und Normen und dem Ablauf des Tests";"121";"Nein"
"/glossar/gebaeudeenergiegesetz-geg-2020/";"glossar/gebaeudeenergiegesetz-geg-2020/index.html";"Was ist das Gebäudeenergiegesetz (GEG 2020)? - Igienair GmbH";"60";"Lesen Sie alles Wissenswerte zum Thema in unserem Glossar oder geben Sie eine Inspektion in Auftrag.";"100";"Nein"
"/glossar/gefaehrdungsbeurteilung-vdi-2047-2/";"glossar/gefaehrdungsbeurteilung-vdi-2047-2/index.html";"Gefährdungsbeurteilung VDI 2047-2 | Glossar";"43";"Gefährdungsbeurteilung nach VDI 2047-2 für Kühltürme: Pflichten, Inhalte und Bedeutung für Betreiber von Verdunstungskühlanlagen.";"129";"Nein"
"/glossar/gefaehrdungsbeurteilung-von-rlt-anlagen/";"glossar/gefaehrdungsbeurteilung-von-rlt-anlagen/index.html";"Gefährdungsbeurteilung von RLT-Anlagen - Igienair GmbH";"54";"Was ist eine Gefährdungsbeurteilung von RLT-Anlagen, welche Vorschriften sind zu beachten und wie wird sie durchgeführt?";"120";"Nein"
"/glossar/hygieneinspektion-nach-vdi-6022/";"glossar/hygieneinspektion-nach-vdi-6022/index.html";"Was ist eine Hygieneinspektion nach VDI 6022? IGIENAIR GmbH";"59";"Hygieneinspektion nach VDI 6022: Pflicht, Intervall und Inhalt der Prüfung für hygienischen Betrieb von RLT-Anlagen.";"116";"Nein"
"/glossar/hygienetechnische-reinigung/";"glossar/hygienetechnische-reinigung/index.html";"Hygienetechnische Reinigung - Igienair GmbH";"43";"Was ist die hygienetechnische Reinigung, was ist zu beachten und welche Unternehmen dürfen sie durchführen.";"107";"Nein"
"/glossar/";"glossar/index.html";"Glossar: Begriffe der Raumlufthygiene | Igienair";"48";"Fachbegriffe zu RLT-Hygiene, Normen und Verfahren verständlich erklärt. Das Igienair-Glossar für Betreiber, Planer und Facility Manager.";"136";"Nein"
"/glossar/inspektionspflicht-geg-2020/";"glossar/inspektionspflicht-geg-2020/index.html";"Inspektionspflicht Gebäudeenergiegesetz (GEG 2020) erklärt";"58";"In unserem Glossar erklären wir die Inspektionspflicht Gebäudeenergiegesetz (GEG 2020) und können sie für Sie durchführen";"121";"Nein"
"/glossar/iso-140012015-zertifizierung/";"glossar/iso-140012015-zertifizierung/index.html";"ISO 14001:2015 Zertifizierung - Igienair GmbH";"45";"ISO 14001:2015 Zertifizierung: Bedeutung, Wichtigkeit und Unternehmensdienstleistungen durch die IGIENAIR GmbH";"110";"Nein"
"/glossar/iso-14644-norm/";"glossar/iso-14644-norm/index.html";"ISO 14644 Norm | Glossar Igienair";"33";"Die ISO 14644 ist eine international anerkannte Normenreihe, die spezifische Anforderungen für die Luftreinheit in Reinräumen definiert";"135";"Nein"
"/glossar/iso-90012015-zertifizierung/";"glossar/iso-90012015-zertifizierung/index.html";"Was ist die ISO 9001:2015 Zertifizierung? Igienair Glossar";"58";"Wir erklären, was die ISO 9001:2015 Zertifizierung ist. Die IGIENAIR ist ein ISO 9001:2015 zertifizierter Fachbetrieb.";"118";"Nein"
"/glossar/kuehlregale/";"glossar/kuehlregale/index.html";"Kühlregale und technische Hygiene: Erklärung und Durchführung";"61";"Kühlregale in der Lebensmittelbranche: Hygieneanforderungen, Reinigungsbedarf und typische Risiken durch Ablagerungen.";"118";"Nein"
"/glossar/lecktest-schwebstofffilter/";"glossar/lecktest-schwebstofffilter/index.html";"Lecktest Schwebstofffilter erklärt | Glossar";"44";"Was ein Lecktest für Schwebstofffilter prüft, wann er nötig ist und welche Anforderungen an Filtersicherheit in RLT-Anlagen gelten.";"131";"Nein"
"/glossar/luftkanalreinigung/";"glossar/luftkanalreinigung/index.html";"Professionelle Luftkanalreinigung - Igienair GmbH";"49";"Lesen Sie in unserem Glossar, was eine professionelle Luftkanalreinigung umfasst und warum wir der richtige Ansprechpartner sind.";"129";"Nein"
"/glossar/op-raum/";"glossar/op-raum/index.html";"OP-Raum / OP-Raum Prüfung - Igienair GmbH";"41";"Was ist ein OP-Raum und eine OP-Raum Prüfung? Welche Normen und Besonderheiten gelten hierfür? Mehr im Glossar lesen";"116";"Nein"
"/glossar/prozessabluftsystem/";"glossar/prozessabluftsystem/index.html";"Prozessabluftsystem - Igienair GmbH";"35";"Was ist ein Prozessabluftsystem und welche Rolle spielen sie in der Gesunderhaltung von Arbeitsumgebungen?";"106";"Nein"
"/glossar/rechenzentrum/";"glossar/rechenzentrum/index.html";"Rechenzentrum | Glossar Igienair";"32";"Rechenzentrum: Funktionalitäten und Herausforderungen untersuchen und die hygienischen Aspekte in unserem Glossar erfahren";"122";"Nein"
"/glossar/reinigung-rechenzentrum/";"glossar/reinigung-rechenzentrum/index.html";"Reinigung Rechenzentrum - Igienair GmbH";"39";"Was genau ist die Reinigung eines Rechenzentrums, welche Vorschriften gibt und was ist genau zu beachten?";"105";"Nein"
"/glossar/reinraum/";"glossar/reinraum/index.html";"Reinraum: Definition & Anforderungen | Glossar";"46";"Reinraum: In der modernen Industrie und Forschung wird oft ein kontrollierter und kontaminationsfreier Arbeitsbereich benötigt.";"127";"Nein"
"/glossar/rlt-anlagen/";"glossar/rlt-anlagen/index.html";"RLT-Anlagen: Definition und Bedeutung - Igienair GmbH";"53";"RLT-Anlagen (Raumlufttechnische Anlagen) sind technische Systeme, die zur Aufbereitung, Regelung und Verteilung von Raumluft in Gebäuden eingesetzt werden.";"155";"Nein"
"/glossar/splitklimageraet/";"glossar/splitklimageraet/index.html";"Was ist ein Splitklimagerät? - Igienair GmbH";"44";"Was ist ein Splitklimagerät?: Definition, Bedeutung und praxisrelevante Hinweise zur Raumlufthygiene – kompakt erklärt im Igienair-Glossar.";"139";"Nein"
"/glossar/textilschlaeuche/";"glossar/textilschlaeuche/index.html";"Textilschläuche: Lüftungskanäle aus Textil - Igienair GmbH";"58";"Textilschläuche: Lüftungskanäle aus Textil: Definition, Bedeutung und praxisrelevante Hinweise zur Raumlufthygiene – kompakt erklärt im Igienair-Glossar.";"153";"Nein"
"/glossar/umluftkuehlgeraet/";"glossar/umluftkuehlgeraet/index.html";"Was ist ein Umluftkühlgerät? - Die Hygieneexperten von Igienair";"63";"Umluftkühlgeräte: Funktion, Hygieneanforderungen und Reinigungsintervalle für sicheren Einsatz in Innenräumen.";"110";"Nein"
"/glossar/vdi-2047-2/";"glossar/vdi-2047-2/index.html";"VDI 2047-2 Richtlinie erklärt | Glossar Igienair";"48";"VDI 2047-2: Risiken in Kühltürmen angemessen bewerten: Risikoanalyse und Gefährdungsbeurteilung";"95";"Nein"
"/glossar/vdi-2052-bgr-111/";"glossar/vdi-2052-bgr-111/index.html";"VDI 2052 & BGR 111 | Glossar Igienair";"37";"Die VDI 2052 und BGR 111 sind Richtlinien, die wichtig für die Sicherheit und Hygiene in der Lebensmittelindustrie sind.";"120";"Nein"
"/glossar/vdi-6022-richtlinienreihe/";"glossar/vdi-6022-richtlinienreihe/index.html";"VDI 6022 Richtlinienreihe - Igienair GmbH";"41";"Die VDI 6022 ist eine wichtige Richtlinienreihe, die wesentliche Standards für die Raumluftqualität in Innenräumen festlegt.";"124";"Nein"
"/glossar/verdampfer-und-kondensatoren/";"glossar/verdampfer-und-kondensatoren/index.html";"Verdampfer und Kondensatoren in Kälteanlagen - Igienair GmbH";"60";"Verdampfer und Kondensatoren in Kälteanlagen: Reinigungsbedarf, Biofilme und Effizienzverluste durch Verschmutzung.";"115";"Nein"
"/glossar/verdunstungskuehlanlagen/";"glossar/verdunstungskuehlanlagen/index.html";"Verdunstungskühlanlagen - Igienair GmbH";"39";"Wir beleuchten die Funktionsweise, den Einsatzbereich und die gesetzlichen Anforderungen von Verdunstungskühlanlagen";"116";"Nein"
"/glossar/vorschriften-laborabzuege/";"glossar/vorschriften-laborabzuege/index.html";"Gesetzliche Vorschriften für Laborabzüge - Igienair GmbH";"56";"Gesetzliche Vorschriften für Laborabzüge: Definition, Bedeutung und praxisrelevante Hinweise zur Raumlufthygiene – kompakt erklärt im Igienair-Glossar.";"151";"Nein"
"/glossar/whg-zertifizierung/";"glossar/whg-zertifizierung/index.html";"Was ist die WHG Zertifizierung / ein Fachbetrieb nach WHG?";"58";"Wir erklären alles Wissenswerte zur WHG-Zertifizierung und was ein Fachbetrieb nach WHG ist (wir sind einer).";"109";"Nein"
"/hygieneinspektion-vdi-6022/";"hygieneinspektion-vdi-6022/index.html";"Hygieneinspektion nach VDI 6022 - Die Hygieneprüfung Lüftung";"60";"Pflichtgemäße Hygieneinspektion nach VDI 6022 für RLT-Anlagen: dokumentiert, verständlich und rechtssicher. Jetzt Termin oder Angebot anfragen.";"143";"Nein"
"/impressum/";"impressum/index.html";"Impressum & Anbieterkennzeichnung | Igienair";"44";"Impressum der Igienair GmbH: Ansprechpartner, Kontaktdaten, Registerangaben und verantwortliche Stelle gemäß TMG.";"113";"Nein"
"/";"index.html";"Technische Hygiene & Raumlufthygiene | Igienair";"47";"Inspektion, Reinigung und Gutachten für RLT-Anlagen nach VDI 6022. Deutschlandweit, dokumentiert und normkonform – jetzt unverbindlich anfragen.";"144";"Nein"
"/industrie/";"industrie/index.html";"Reinigung nach DIN EN 15780 und VDI 6022 Lüftungsanlagen";"56";"Inspektion, Reinigung und Wartung raumlufttechnischer Anlagen in Industriebetrieben. Igienair minimiert Ausfallzeiten und sichert Hygiene.";"138";"Nein"
"/inspektionundgutachten/";"inspektionundgutachten/index.html";"Hygieneinspektion & Gutachten RLT | Igienair";"44";"Umfassende Inspektion und Bewertung Ihrer RLT-Anlagen, Lüftungskanäle und Kühltürme. Igienair liefert klare Gutachten und Handlungsempfehlungen.";"144";"Nein"
"/instandsetzung-sanierung/";"instandsetzung-sanierung/index.html";"RLT-Instandsetzung & Sanierung | Igienair";"41";"Sanierung und Instandsetzung von Lüftungs- und RLT-Anlagen für hygienischen, sicheren Anlagenbetrieb. Igienair – technische Hygiene aus einer Hand.";"147";"Nein"
"/jobs/";"jobs/index.html";"Aktuelle Jobangebote bei der Igienair GmbH";"42";"Wir suchen aktuell Mitarbeiter für die technische Reinigung und Teamleiter für technische Hygienereinigung. Jetzt bewerben";"122";"Nein"
"/jobs/mitarbeiter-technische-reinigung-gesucht/";"jobs/mitarbeiter-technische-reinigung-gesucht/index.html";"Mitarbeiter/in technische Reinigung gesucht - Igienair GmbH";"59";"Bewerben Sie sich jetzt online beim Marktführer für Luftkanalreinigung als Mitarbeiter/in technische Reinigung";"110";"Nein"
"/jobs/teamleiter-hygienereinigung-gesucht/";"jobs/teamleiter-hygienereinigung-gesucht/index.html";"Teamleiter/in technische Hygienereinigung gesucht - Igienair GmbH";"65";"Bewerben Sie sich jetzt online beim Marktführer für Luftkanalreinigung als Teamleiter/in technische Hygienereinigung";"116";"Nein"
"/kanaluntersuchung/";"kanaluntersuchung/index.html";"Kanaluntersuchung & TV-Inspektion | Igienair";"44";"Kanaluntersuchung und TV-Inspektion von Lüftungskanälen zur Schadens- und Verschmutzungsanalyse. Igienair liefert belastbare Gutachten.";"135";"Nein"
"/kontakt/angebot-anfordern/";"kontakt/angebot-anfordern/index.html";"Angebot für RLT-Hygiene anfordern | Igienair";"44";"Unverbindliches Angebot für Inspektion, Reinigung oder Gutachten Ihrer Lüftungs- und RLT-Anlagen. Schnelle Rückmeldung durch Igienair-Experten.";"143";"Nein"
"/kontakt/";"kontakt/index.html";"Standorte & Kontakt | Igienair Deutschland";"42";"8 Standorte in Deutschland: persönliche Ansprechpartner für technische Hygiene und Raumlufthygiene. Kontakt aufnehmen oder Angebot anfordern.";"141";"Nein"
"/kunden/gastronomie/";"kunden/gastronomie/index.html";"Raumlufthygiene für Gastronomie | Igienair";"42";"Küchenabluft, Lüftungsreinigung und Brandschutz in der Gastronomie nach VDI 2052. Igienair sorgt für Sicherheit und normkonformen Betrieb.";"138";"Nein"
"/kunden/gemeinden/";"kunden/gemeinden/index.html";"Lüftungshygene für Kommunen | Igienair";"38";"Inspektion und Reinigung raumlufttechnischer Anlagen in Schulen, Verwaltung und öffentlichen Gebäuden. Igienair – zuverlässig und normkonform.";"142";"Nein"
"/kunden/gesundheit/";"kunden/gesundheit/index.html";"Raumlufthygiene Gesundheitswesen | Igienair";"43";"Hygieneinspektion, Reinigung und Gutachten für RLT-Anlagen in Kliniken, Praxen und Pflegeeinrichtungen – rechtssicher und dokumentiert.";"135";"Nein"
"/kunden/";"kunden/index.html";"Kunden & Branchen | Igienair Referenzen";"39";"Über 14.000 Kunden vertrauen Igienair: Branchenlösungen und Referenzen aus Gesundheitswesen, Industrie, Pharma und öffentlichem Sektor.";"135";"Nein"
"/kunden/lebensmittel/";"kunden/lebensmittel/index.html";"Hygiene für Lebensmittelbetriebe | Igienair";"43";"Hygienereinigung von Lüftungs- und Kühlanlagen in Lebensmittelbetrieben nach HACCP, IFS und GMP. Igienair sichert Produktionshygiene.";"133";"Nein"
"/kunden/pharma/";"kunden/pharma/index.html";"Raumlufthygiene Pharma & Life Science | Igienair";"48";"Reinraumqualifizierung, RLT-Reinigung und Validierung für Pharma und Life Science nach GMP und ISO 14644. Igienair – höchste Ansprüche.";"135";"Nein"
"/kunden/referenzen/baden-wuerttemberg/freiburg/";"kunden/referenzen/baden-wuerttemberg/freiburg/index.html";"Raumlufthygiene Freiburg: Kühlturm- und RLT-Anlagen Reinigung";"61";"Das Leistungsspektrum von Igienair: Begutachtung, Sanierung und Reinigung von Kühltürmen und RLT-Anlagen in Freiburg";"116";"Nein"
"/kunden/referenzen/baden-wuerttemberg/heidelberg/";"kunden/referenzen/baden-wuerttemberg/heidelberg/index.html";"RLT-Hygiene & Reinigung in Heidelberg | Igienair";"48";"Hygieneinspektion, Reinigung und Gutachten für RLT-Anlagen in Heidelberg und Baden-Württemberg. Igienair – normkonform, dokumentiert. Jetzt anfragen.";"149";"Nein"
"/kunden/referenzen/baden-wuerttemberg/";"kunden/referenzen/baden-wuerttemberg/index.html";"Baden-Württemberg - Igienair GmbH";"33";"Technische Hygiene in Baden-Württemberg: Inspektion, Reinigung und Gutachten für RLT-Anlagen. Igienair ist in der Region mit erfahrenen Teams vor Ort.";"150";"Nein"
"/kunden/referenzen/baden-wuerttemberg/karlsruhe/";"kunden/referenzen/baden-wuerttemberg/karlsruhe/index.html";"Reinigung von RLT-Anlagen & Inspektion von Kühltürmen";"53";"Igienair: Ihr Partner für die Reinigung und Inspektion von Kühltürmen und RLT-Anlagen in Karlsruhe und Umgebung";"111";"Nein"
"/kunden/referenzen/baden-wuerttemberg/konstanz/";"kunden/referenzen/baden-wuerttemberg/konstanz/index.html";"Raumlufthygiene Konstanz: Desinfektion, Sanierung, Gutachten";"60";"Hygieneinspektion, Reinigung und Gutachten für RLT-Anlagen in Konstanz und Baden-Württemberg. Igienair – normkonform, dokumentiert. Jetzt anfragen.";"147";"Nein"
"/kunden/referenzen/baden-wuerttemberg/mannheim/";"kunden/referenzen/baden-wuerttemberg/mannheim/index.html";"RLT-Hygiene & Reinigung in Mannheim | Igienair";"46";"Hygieneinspektion, Reinigung und Gutachten für RLT-Anlagen in Mannheim und Baden-Württemberg. Igienair – normkonform, dokumentiert. Jetzt anfragen.";"147";"Nein"
